Time;[95:17];[95:34];[500:10]
time;HEX1\HEX1 Temperatuur downstream (S4);HEX1\HEX1 Druk downstream (S8);DNST\Flexim Pers5 Debiet thermische olie
sec;°C;bar;m³/h

stoptime;19.10.2022 16:32:22.422073
signalCount;2395

16.10.2022 12:32:22.422073;277,921;4,40208;425,661
16.10.2022 13:32:22.422073;273,891;4,41935;442,393
16.10.2022 14:32:22.422073;281,218;4,46165;376,115
16.10.2022 15:32:22.422073;278,282;4,43553;402,664
16.10.2022 16:32:22.422073;278,079;4,41294;414,576
16.10.2022 17:32:22.422073;278,485;4,44142;426,74
16.10.2022 18:32:22.422073;283,379;4,57574;342,288
16.10.2022 19:32:22.422073;286,179;4,5607;353,338
16.10.2022 20:32:22.422073;286,921;4,56541;338,396
16.10.2022 21:32:22.422073;286,515;4,56487;348,931
16.10.2022 22:32:22.422073;270,744;4,53928;383,067
16.10.2022 23:32:22.422073;275,891;4,42611;428,422
17.10.2022 00:32:22.422073;278,109;4,5068;438,081
17.10.2022 01:32:22.422073;274,079;4,45047;436,662
17.10.2022 02:32:22.422073;278,015;4,51371;429,361
17.10.2022 03:32:22.422073;278,609;4,47935;429,372
17.10.2022 04:32:22.422073;278,015;4,46478;408,271
17.10.2022 05:32:22.422073;278,812;4,49333;423,66
17.10.2022 06:32:22.422073;278,015;4,45673;410,987
17.10.2022 07:32:22.422073;277,995;4,44419;418,184
17.10.2022 08:32:22.422073;278,282;4,42422;434,566
17.10.2022 09:32:22.422073;278,782;4,42739;436,486
17.10.2022 10:32:22.422073;278,109;4,43269;436,895
17.10.2022 11:32:22.422073;277,485;4,42922;414,35
17.10.2022 12:32:22.422073;278,109;4,43708;425,721
17.10.2022 13:32:22.422073;287,362;4,46292;380,273
17.10.2022 14:32:22.422073;278,109;4,49578;398,708
17.10.2022 15:32:22.422073;278,015;4,48335;405,963
17.10.2022 16:32:22.422073;278,421;4,46365;425,362
17.10.2022 17:32:22.422073;278,515;4,45832;427,491
17.10.2022 18:32:22.422073;277,985;4,44443;412,063
17.10.2022 19:32:22.422073;277,718;4,42793;425,875
17.10.2022 20:32:22.422073;278,485;4,41678;426,197
17.10.2022 21:32:22.422073;277,609;4,42133;419,086
17.10.2022 22:32:22.422073;278,282;4,40481;422,937
17.10.2022 23:32:22.422073;277,985;4,40305;418,946
18.10.2022 00:32:22.422073;278,079;4,40106;423,817
18.10.2022 01:32:22.422073;279,282;4,46775;410,608
18.10.2022 02:32:22.422073;277,812;4,40605;425,914
18.10.2022 03:32:22.422073;280,079;4,5262;374,569
18.10.2022 04:32:22.422073;278,079;4,39409;418,551
18.10.2022 05:32:22.422073;278,187;4,38678;403,574
18.10.2022 06:32:22.422073;278,485;4,3798;412,583
18.10.2022 07:32:22.422073;276,218;4,40423;401,112
18.10.2022 08:32:22.422073;286,312;4,54235;358,244
18.10.2022 09:32:22.422073;287,312;4,53864;343,515
18.10.2022 10:32:22.422073;280,985;4,40929;433,134
18.10.2022 11:32:22.422073;273,312;4,42895;407,033
18.10.2022 12:32:22.422073;278,688;4,41073;406,503
18.10.2022 13:32:22.422073;278,421;4,42942;409,058
18.10.2022 14:32:22.422073;277,782;4,4233;412,81
18.10.2022 15:32:22.422073;277,985;4,43822;423,498
18.10.2022 16:32:22.422073;278,282;4,41919;410,153
18.10.2022 17:32:22.422073;277,109;4,45001;392,695
18.10.2022 18:32:22.422073;276,188;4,41583;399,733
18.10.2022 19:32:22.422073;277,891;4,40758;423,718
18.10.2022 20:32:22.422073;276,015;4,41734;432,051
18.10.2022 21:32:22.422073;277,688;4,43395;410,141
18.10.2022 22:32:22.422073;278,312;4,39319;409,67
